escenario,n,algoritmo,repeticiones,promedio_s,desv_std_s
random,100,Burbuja,5,0.00042382000829093157,0.00014523527799309994
random,100,Quicksort,5,9.706000564619899e-05,9.010166842196505e-06
random,1000,Burbuja,5,0.042292240000097084,0.0020284092132869247
random,1000,Quicksort,5,0.0015300200029741973,0.000187005627160312
random,5000,Burbuja,5,1.1737225399992894,0.123060607885174
random,5000,Quicksort,5,0.008872099994914607,0.000515924432563203
random,10000,Burbuja,5,5.260979759990005,0.6305999556838033
random,10000,Quicksort,5,0.023723700002301486,0.0020248642898129023
reversed,100,Burbuja,5,0.0007254399941302836,0.00010809145144911226
reversed,100,Quicksort,5,8.220000891014933e-05,1.918489287807663e-05
reversed,1000,Burbuja,5,0.06318869999959134,0.0049162530675984605
reversed,1000,Quicksort,5,0.0010641400062013418,2.9891437171246946e-05
reversed,5000,Burbuja,5,1.6413929399976042,0.10070128354199918
reversed,5000,Quicksort,5,0.00599037999054417,0.00019150686013595387
reversed,10000,Burbuja,5,6.643781740003033,0.11395252450628048
reversed,10000,Quicksort,5,0.013607999996747822,0.0006160872196192832
